trainer_id,member_id,zone,violation_type,official_start_time,official_end_time,timestamp,overtime_minutes,details
T001,M101,Cardio,Extended Session,2025-10-19 10:00:00,2025-10-19 10:30:00,2025-10-19 10:50:00,20.0,Trainer extended session beyond official end time
T002,M102,Weight Zone,Extended Session,2025-10-19 11:00:00,2025-10-19 11:45:00,2025-10-19 12:10:00,25.0,Trainer extended session beyond official end time
T003,M103,Yoga Zone,Extended Session,2025-10-19 09:00:00,2025-10-19 09:30:00,2025-10-19 09:50:00,20.0,Trainer extended session beyond official end time
T001,M101,Cardio,Unauthorized Extra Service,,,2025-10-19 10:50:00,,Zone not booked or outside official session time
T001,M101,Yoga Zone,Unauthorized Extra Service,,,,,Zone not booked or outside official session time
T002,M102,Weight Zone,Unauthorized Extra Service,,,2025-10-19 12:10:00,,Zone not booked or outside official session time
T003,M103,Yoga Zone,Unauthorized Extra Service,,,2025-10-19 09:50:00,,Zone not booked or outside official session time
T001,M101,Cardio,Unauthorized Interaction,,,2025-10-19 10:50:00,,Trainer interacted with member outside any official session
T001,M101,Yoga Zone,Unauthorized Interaction,,,,,Trainer interacted with member outside any official session
T002,M102,Weight Zone,Unauthorized Interaction,,,2025-10-19 12:10:00,,Trainer interacted with member outside any official session
T003,M103,Yoga Zone,Unauthorized Interaction,,,2025-10-19 09:50:00,,Trainer interacted with member outside any official session
T001,M101,,Direct Payment,,,2025-10-19 10:45:00,,Trainer received direct payment of 500 not approved by gym
T002,M102,,Direct Payment,,,2025-10-19 12:05:00,,Trainer received direct payment of 700 not approved by gym
