
2025-10-19T13:07:54.263768, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:07:54.290584, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:07:54.304104, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:07:54.315206, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:07:54.330541, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:07:54.344248, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:07:54.654494, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:07:54.664495, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:07:54.676430, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:07:54.687441, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:07:54.697902, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:07:54.709166, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:07:55.007203, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:07:55.019228, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:07:55.034298, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:07:55.049572, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:07:55.371440, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:07:55.383228, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:07:55.393978, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:07:55.408261, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:07:55.732327, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:07:55.744826, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:07:55.760070, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:07:55.773925, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:07:55.786034, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:07:55.797269, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:07:56.135231, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:07:56.145649, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:07:56.160359, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:07:56.172866, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:07:56.183847, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:07:56.195002, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:07:56.465577, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:07:56.473349, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:07:56.483387, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:07:56.493576, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:07:56.503589, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:07:56.511527, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:07:56.779445, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:07:56.789644, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:07:56.801001, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:07:56.808998, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:07:56.819810, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:07:56.829499, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:07:57.088893, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:07:57.096854, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:07:57.108674, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:07:57.119913, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:07:57.135758, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:07:57.149850, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:07:57.412515, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:07:57.421429, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:07:57.435479, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:07:57.445026, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:07:57.456159, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:07:57.466573, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:07:58.436230, p002, pushups, Workout Zone, Detected Policy Violation
2025-10-19T13:07:58.444110, p002, pushups, Workout Zone, Detected Policy Violation
2025-10-19T13:07:58.456547, p002, pushups, Workout Zone, Detected Policy Violation
2025-10-19T13:07:58.731418, p002, pushups, Workout Zone, Detected Policy Violation
2025-10-19T13:07:58.738691, p002, pushups, Workout Zone, Detected Policy Violation
2025-10-19T13:07:58.752541, p002, pushups, Workout Zone, Detected Policy Violation
2025-10-19T13:07:58.761754, p002, pushups, Workout Zone, Detected Policy Violation
2025-10-19T13:07:58.772088, p002, pushups, Workout Zone, Detected Policy Violation
2025-10-19T13:07:59.031930, p002, pushups, Workout Zone, Detected Policy Violation
2025-10-19T13:07:59.040906, p002, pushups, Workout Zone, Detected Policy Violation
2025-10-19T13:07:59.053499, p002, pushups, Workout Zone, Detected Policy Violation
2025-10-19T13:07:59.312070, p002, pushups, Workout Zone, Detected Policy Violation
2025-10-19T13:07:59.321218, p002, pushups, Workout Zone, Detected Policy Violation
2025-10-19T13:07:59.331599, p002, pushups, Workout Zone, Detected Policy Violation
2025-10-19T13:07:59.341666, p002, pushups, Workout Zone, Detected Policy Violation
2025-10-19T13:29:08.271436, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:29:08.325648, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:29:08.345441, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:29:08.366597, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:29:08.393242, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:29:08.413106, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:29:09.173342, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:29:09.201925, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:29:09.245401, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:29:09.292897, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:29:09.328550, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:29:09.360855, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:29:09.976904, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:29:09.992594, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:29:10.011718, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:29:10.028429, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:29:10.546804, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:29:10.562247, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:29:10.583229, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:29:10.601251, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:29:11.127292, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:29:11.144685, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:29:11.162212, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:29:11.178794, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:29:11.196700, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:29:11.216054, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:29:11.758047, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:29:11.772744, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:29:11.790727, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:29:11.812390, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:29:11.830465, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:29:11.848669, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:29:12.374859, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:29:12.390352, p002, plank, Workout Zone, Detected Policy Violation
2025-10-19T13:29:12.406581, p002, plank, Workout Zone, Detected Policy Violation
